wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
202.0,0.007934212679954767,1.0314476094208658E-4,1.0
202.1,0.007914421281774043,1.0288746852893382E-4,1.0
202.2,0.007887106954350472,1.0253238724544644E-4,1.0
202.3,0.007861121378041507,1.0219457908533514E-4,1.0
202.4,0.007846185416264535,1.0200040560448542E-4,1.0
202.5,0.007851200702426434,1.0206560546066612E-4,1.0
202.6,0.007882431348924638,1.0247160389553756E-4,1.0
202.7,0.007942195177252294,1.0324853792553768E-4,1.0
202.8,0.00802828426262498,1.043676893459633E-4,1.0
202.9,0.008134574361183644,1.0574945918051526E-4,1.0
203.0,0.00825275328550458,1.0728579218266532E-4,1.0
203.1,0.008374398951455355,1.0886718519032001E-4,1.0
203.2,0.008493017462611198,1.1040922981919721E-4,1.0
203.3,0.008605202021001577,1.1186762276338413E-4,1.0
203.4,0.008710792776868342,1.1324030492687598E-4,1.0
203.5,0.008812007645605802,1.1455609637778252E-4,1.0
203.6,0.008912233443964721,1.158590312115848E-4,1.0
203.7,0.009014657176498176,1.1719053873093799E-4,1.0
203.8,0.009121426824331282,1.185785440611653E-4,1.0
203.9,0.009233131833447218,1.2003070878563449E-4,1.0
204.0,0.009348703208588362,1.2153314310126007E-4,1.0
204.1,0.009465743203382492,1.2305466225370765E-4,1.0
204.2,0.009580914954128265,1.2455187970772386E-4,1.0
204.3,0.009690581878827811,1.259775599464774E-4,1.0
204.4,0.009791497029268742,1.2728944420814514E-4,1.0
204.5,0.009881412518227101,1.2845835590269417E-4,1.0
204.6,0.00995927933166504,1.2947063078172505E-4,1.0
204.7,0.010025217356901168,1.30327811348252E-4,1.0
204.8,0.010080085786385536,1.3104110257700086E-4,1.0
204.9,0.010124923643546105,1.3162400864530355E-4,1.0
205.0,0.010160420280464887,1.320854644291103E-4,1.0
205.1,0.01018684544360876,1.3242899149190634E-4,1.0
205.2,0.010204309029686451,1.326560159213841E-4,1.0
205.3,0.010213210663093329,1.3277173275128007E-4,1.0
205.4,0.01021473922640562,1.327915961155668E-4,1.0
205.5,0.010211112635017632,1.327444624621421E-4,1.0
205.6,0.010205487921652793,1.3267133908811957E-4,1.0
205.7,0.010201551621358395,1.326201600022614E-4,1.0
205.8,0.01020297028796196,1.3263861183077097E-4,1.0
205.9,0.010212960897846223,1.3276848767418414E-4,1.0
206.0,0.010233951169213057,1.3304136518854648E-4,1.0
206.1,0.010267579562083483,1.3347853382583708E-4,1.0
206.2,0.010314735240737201,1.3409154780674726E-4,1.0
206.3,0.01037572791408062,1.348844525637105E-4,1.0
206.4,0.010450567572723626,1.358573790639639E-4,1.0
206.5,0.010539244226056338,1.370101817883551E-4,1.0
206.6,0.010641997648715974,1.3834596029482782E-4,1.0
206.7,0.010759487220954895,1.398733293171972E-4,1.0
206.8,0.010892582125833035,1.4160356658976525E-4,1.0
206.9,0.011041971715432405,1.4354563609231263E-4,1.0
207.0,0.011207476158775091,1.456971949664876E-4,1.0
207.1,0.011387287155472041,1.4803472731728107E-4,1.0
207.2,0.011577678208036422,1.505098189227283E-4,1.0
207.3,0.011773014612493516,1.5304918633773923E-4,1.0
